gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4438333469	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	TK25 Blatt 2325/4 - Hamburg / Lokstedt / Niendorf		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	53.646378	9.997492	25.0						2023-09-27T00:00	27	9	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-1632433909				CC_BY_4_0		-1048373261			2024-03-15T23:23:32.989Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4438328702	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Rader Forst, Wiemerskamper Moor		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	53.732975	10.130424	250.0						2023-10-22T00:00	22	10	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-258169526				CC_BY_4_0		1647598034			2024-03-15T23:20:27.739Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4429182014	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Langenholzen		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	51.998779	9.856319	25.0						2023-10-06T00:00	6	10	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-1656513034				CC_BY_4_0		1981713956			2024-03-15T23:23:31.099Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4429169309	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	TK25 Blatt 3744/1 - Seddin		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	52.220745	12.987084	25.0						2023-10-01T00:00	1	10	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	14251409				CC_BY_4_0		1575976133			2024-03-15T23:24:28.925Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4421451289	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Rosenthal KGA Einigkeit, Berlin		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	52.599762	13.388386	250.0						2023-09-14T00:00	14	9	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-1357716604				CC_BY_4_0		-619538877			2024-03-15T23:28:19.593Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4421445841	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	TK25 Blatt 3346/3 - Berlin / Lübars / Blankenfelde		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	52.599182	13.388828	25.0						2023-09-03T00:00	3	9	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-855103382				CC_BY_4_0		-619538877			2024-03-15T23:21:19.875Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4421445575	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	TK25 Blatt 4821/3 - Wega / Mandern / Ungedanken		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	51.138893	9.176894	25.0						2023-09-25T00:00	25	9	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	782268613				CC_BY_4_0		-137398616			2024-03-15T23:19:58.624Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4421397384	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Otterzentrum Hankensbüttel		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	52.732319	10.617154	250.0						2023-09-21T00:00	21	9	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-1653831538				CC_BY_4_0		794562383			2024-03-15T23:28:01.615Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
4421363127	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Rosenthal KGA Einigkeit, Berlin		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	52.599762	13.388386	250.0						2023-09-15T00:00	15	9	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	1826552147				CC_BY_4_0		-619538877			2024-03-15T23:22:31.802Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
4421357521	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Melgershäuser Feldflur, mit angrenzendem Wald		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	51.141582	9.497343	250.0						2023-09-15T00:00	15	9	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	603339493				CC_BY_4_0		721850313			2024-03-15T23:19:48.708Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
